id,fecha_publicacion,ciudad,zona,tipo,area,dormitorios,banos,precio_millones,precio_m2,segmento,precio_estimado,diferencia_pct,estado_precio,dias_publicado,esta_activo
MCS2R6fQFBp+Rvcd+sXJ9w==,2020-09-11,Cali,Lili,Apartamento,54.0,2.0,1.0,135.0,2500000.0,Económicos estándar,144.37347000294008,-6.492515558952207,Cerca del valor estimado,8.0,False
VS7x3GTnwW42GYBJpeV6PQ==,2020-09-11,Bello,Sin dato,Apartamento,57.0,2.0,1.0,150.0,2631578.947368421,Económicos estándar,152.40217235190804,-1.5762061096880164,Cerca del valor estimado,28.0,False
1S/EWPG+NxxpNaoWb7PltA==,2020-09-11,Medellín,San Javier,Apartamento,60.0,3.0,1.0,150.0,2500000.0,Económicos estándar,177.05096496281251,-15.278631759219305,Por debajo del valor estimado,28.0,False
mczQfeWkcw3CTVuhDoC/ag==,2020-09-11,Bogotá D.C,Zona Norte,Apartamento,51.0,1.0,2.0,510.0,10000000.0,Compactos en zona cara,370.77841802045936,37.54845892132224,Por encima del valor estimado,8.0,False
TDB17m/Q3rXik0TgR9ehIw==,2020-09-11,Bogotá D.C,Zona Chapinero,Apartamento,75.0,1.0,2.0,730.0,9733333.333333334,Compactos en zona cara,572.6731837547983,27.472356085135708,Por encima del valor estimado,8.0,False
VvvOPuIjt4eBl2xge9gx7g==,2020-09-11,Cali,Sin dato,Apartamento,61.0,2.0,2.0,160.0,2622950.819672131,Económicos estándar,190.90844136991393,-16.19019104033444,Por debajo del valor estimado,28.0,False
fOqNz3bn27YS6+V4Pkbb2A==,2020-09-11,Cali,Pance,Apartamento,94.0,2.0,2.0,450.0,4787234.042553191,Compactos en zona cara,336.49317434664664,33.73228175392988,Por encima del valor estimado,8.0,False
w+Ry86h5/buONPbyOtb1oA==,2020-09-11,Cajicá,Sin dato,Apartamento,63.0,2.0,2.0,263.0,4174603.1746031744,Económicos estándar,240.73684900699365,9.247919911238673,Cerca del valor estimado,8.0,False
OEkAwqY935wREO1ijAdzvg==,2020-09-11,Cajicá,Sin dato,Apartamento,60.0,2.0,2.0,230.0,3833333.3333333335,Económicos estándar,234.00678058662868,-1.71224978036283,Cerca del valor estimado,8.0,False
lCEQGDpm/pJVf66fAIoNvg==,2020-09-11,Pereira,Sin dato,Apartamento,109.0,2.0,2.0,299.0,2743119.2660550456,Económicos estándar,394.3788153961073,-24.184568661557154,Por debajo del valor estimado,8.0,False
